COD_CLIENTE;DES_CLIENTE;INDIRIZZO;CAP;CITY;PROVINCIA;TELEFONO;FAX;EMAIL;LINEA_CLIENTE;AREA;COD_AGENTE;AGENTE;GAMBE_FLG;NASO_FLG;INTESTINO_FLG;STOMACO_FLG;GOLA_FLG;COD_SUBENTRATO;COD_MICROBRICK;DESC_MICROBRICK;DESC_MICROAREE
10177;GALIONE;VIA ROMA 57;96012;AVOLA;SR;_0931831056               ;_+390931578366;;Maintain;P;P37;Teresa Lacagnina;1,000000;1,000000;1,000000;1,000000;1,000000;0;0910103;SIRACUSA 0103;SIRACUSA 01
1022;FERRARI;VIALE CAVOUR 4;28066;GALLIATE;NO;_0321861432               ;_+390321862938;farmacia.ferrari@libero.it;Build;F;F22;Elena Borri;1,000000;1,000000;0,000000;1,000000;0,000000;0;0030301;NOVARA 0301;NOVARA 03
10224;MACCHIA;VIA NAZIONALE 277;98040;ROMETTA MAREA;ME;_0909961061               ;_+390909961061;;Maintain;P;P33;Salvatore Gianluca Chirieleison;0,000000;0,000000;0,000000;0,000000;0,000000;0;0851006;MESSINA 1006;MESSINA 10
10234;VECE;PIAZZA CAIO DULIO 4;98057;MILAZZO;ME;_0909281181               ;_+390909281181;pietro.vece@alice.it;Build;P;P33;Salvatore Gianluca Chirieleison;0,000000;0,000000;0,000000;0,000000;0,000000;0;0850401;MESSINA 0401;MESSINA 04
10239;TRIPODO;VIA COLOMBO 36;98060;PATTI MARINA;ME;_0941361020               ;_+390941361020;;Build;P;P33;Salvatore Gianluca Chirieleison;0,000000;0,000000;0,000000;0,000000;0,000000;0;0850701;MESSINA 0701;MESSINA 07
10242;DE FRANCESCO;VIA GARIBALDI 542;98050;BARCELLONA;ME;_0909762558               ;_+390909762296;defras@hotmail.com;Build;P;P33;Salvatore Gianluca Chirieleison;0,000000;0,000000;0,000000;0,000000;0,000000;0;0850601;MESSINA 0601;MESSINA 06
1028;CIANA;VIA A.DI DIO 29;28877;ORNAVASSO;VB;_0323837142               ;_+390323836127;pierinaciana@tiscali.it;Build;F;F22;Elena Borri;1,000000;0,000000;1,000000;1,000000;1,000000;0;0960204;VERBANIA 0204;VERBANIA 02
10317;STRACUZZI;PIAZZA VITTORIO EMANUELE 6;98030;GAGGI;ME;_0942630220               ;_+39094247862;sebastiana.stracuzzi@tin.it;Defend;P;P33;Salvatore Gianluca Chirieleison;1,000000;1,000000;1,000000;1,000000;1,000000;0;0850102;MESSINA 0102;MESSINA 01
10326;INGOGLIA DSA G. & FIGLI S.N.C.;VIA NAZIONALE 178;98050;VIGLIATORE;ME;_0909740048               ;_+390909740048;;Build;P;P33;Salvatore Gianluca Chirieleison;1,000000;1,000000;1,000000;1,000000;1,000000;0;0850603;MESSINA 0603;MESSINA 06
10337;CHILLEMI;VIA G. MARTINO 19;98050;BARCELLONA;ME;_0909701136               ;_+390909610169;;Observe;P;P33;Salvatore Gianluca Chirieleison;0,000000;0,000000;0,000000;0,000000;0,000000;0;0850601;MESSINA 0601;MESSINA 06
1075;PASSERINI;CORSO MATTEOTTI 217;13037;SERRAVALLE SESIA;VC;_0163459701               ;_+390163459701;farmaciapasserini@yahoo.it;Build;F;F22;Elena Borri;1,000000;0,000000;1,000000;1,000000;1,000000;0;0030101;VERCELLI 0401;VERCELLI 04
1077;MARTELLI PIERGIORGIO E C. SNC;PIAZZA PARROCCHIALE 16;13011;BORGOSESIA;VC;_016322268                ;_+39016322268;martellipg@libero.it;Build;F;F22;Elena Borri;0,000000;0,000000;0,000000;0,000000;0,000000;0;0020301;VERCELLI 0301;VERCELLI 03
1118;POZZATI;PIAZZA C ALBERTO 1;10041;CARIGNANO;TO;_0119697164               ;_+390119695063;caio@farmaciapozzati.191.it;Defend;F;F34;Andrea Nerino Arrigo Neri;1,000000;1,000000;1,000000;1,000000;1,000000;0;0013102;TORINO 3102;TORINO 31
1128;GHIRARDI;CORSO NORIO LISA 5BIS;10021;CAMBIANO;TO;_0119440163               ;_+390119457954;farmaciaghirardi@libero.it;Build;F;F34;Andrea Nerino Arrigo Neri;0,000000;0,000000;0,000000;0,000000;0,000000;0;0013001;TORINO 3001;TORINO 30
1142;RUFFINO;PIAZZA MARTIRI 3 APRILE 38;10040;CUMIANA;TO;_0119059035               ;_+390119059035;farmaciaruffino@alice.it;Build;F;F34;Andrea Nerino Arrigo Neri;1,000000;1,000000;1,000000;1,000000;1,000000;0;0014402;TORINO 4402;TORINO 44
1148;MUSTO;VIA CAMBIANO 8;10064;PINEROLO;TO;_0121322050               ;_+390121398910;;Build;F;F34;Andrea Nerino Arrigo Neri;0,000000;0,000000;0,000000;0,000000;0,000000;0;0014403;TORINO 4403;TORINO 44
1162;S.CARLO;PIAZZA ITALIA 12;10046;POIRINO;TO;_0119450126               ;_+390119430284;farmacarlo@libero.it;Build;F;F34;Andrea Nerino Arrigo Neri;0,000000;0,000000;0,000000;0,000000;0,000000;0;0013001;TORINO 3001;TORINO 30
1193;DEL MONUMENTO;CORSO V EMANUELE 84;10121;TORINO;TO;_011541739                ;_+390115623447;00009@pec.federfarma.it;Build;F;F35;Enrico Giuseppe Parlatore;0,000000;0,000000;0,000000;0,000000;0,000000;0;0010107;TORINO 0107;TORINO 01
1198;MILLEFONTI;VIA GENOVA 64-E;10126;TORINO;TO;_011679452                ;_+39011679452;;Build;F;F35;Enrico Giuseppe Parlatore;0,000000;0,000000;0,000000;0,000000;0,000000;0;0010901;TORINO 0901;TORINO 09
1228;CORSO FRANCIA;CORSO FRANCIA 175;10139;TORINO;TO;_011746112                ;_+39011746112;farmaciafrancia@tiscali.it;Build;F;F35;Enrico Giuseppe Parlatore;1,000000;1,000000;1,000000;1,000000;1,000000;0;0011303;TORINO 1303;TORINO 13
12543;RUZZA;VIA MARZAN 4;37019;PESCHIERA DEL GARDA;VR;_0456401053               ;_+390456401053;farmaciaruzza@libero.it;Build;H;H33;Isacco Treccani;0,000000;0,000000;1,000000;1,000000;0,000000;0;0230301;VERONA 0301;VERONA 03
1271;DELL'ERICA;VIA DI NANNI 71;10138;TORINO;TO;_0114474394               ;_+390114474394;avondogliogianfranco@hotmail.com;Build;F;F34;Andrea Nerino Arrigo Neri;0,000000;0,000000;0,000000;0,000000;0,000000;0;0010501;TORINO 0501;TORINO 05
12720;TILLI;PIAZZA UMBERTO I 6;66043;CASOLI;CH;_0872981192               ;_+390872991224;;Build;P;P06;Elisabetta Di Battista;1,000000;1,000000;1,000000;1,000000;1,000000;0;0650205;CHIETI 0205;CHIETI 02
12736;AMOROSO;VIA GIOVANNI BRANCA 62;00153;ROMA;RM;_065746070                ;_+39065743345;;Build;M;M04;Valerio Medici;0,000000;0,000000;0,000000;0,000000;0,000000;0;0590109;ROMA 0109;ROMA 01
12777;CONSIGLIO;VIA G PITRE' 118/D;90135;PALERMO;PA;_091212141                ;_+390916514121;dino@xod.it;Observe;P;P32;Pierludovico Marsala;0,000000;0,000000;0,000000;0,000000;0,000000;0;0841103;PALERMO 1103;PALERMO 11
12801;PAVESE;VIA TRENTO 48/B;84100;SALERNO;SA;_089756673                ;_+39089330576;farmaciapavese@virgilio.it;Build;P;P02;Vito Benincasa;1,000000;1,000000;1,000000;1,000000;1,000000;0;0720702;SALERNO 0702;SALERNO 07
12829;FORZA;VIA DEL CALICE 57;00178;ROMA;RM;_067186493                ;_+39067186493;;Observe;M;M04;Valerio Medici;0,000000;0,000000;0,000000;0,000000;0,000000;0;0591006;ROMA 1006;ROMA 10
12835;MATTEOTTI;VIA MATTEOTTI 16;70032;BITONTO;BA;_0803717008               ;_+390803717008;farmaciavaccaoronzo@libero.it;Maintain;P;P09;Pierluca Lubello Lincenti;0,000000;0,000000;0,000000;0,000000;0,000000;0;0740801;BARI 0801;BARI 08
12850;TORTORA;VIA ANNUNZIATA 46;80011;ACERRA;NA;_0815201267               ;_+390815201267;info@farmaciatortora.it;Observe;P;P08;Fabio Raimondi;1,000000;1,000000;1,000000;1,000000;1,000000;0;0700701;NAPOLI 0504;NAPOLI 05
12874;FREZZATO;VIA ROMA 36;16033;LAVAGNA;GE;_0185396016               ;_+390185397333;farmacia.frezzato@tiscali.it;Build;F;F32;Valter Tasso;0,000000;0,000000;0,000000;0,000000;0,000000;0;0101103;GENOVA 1103;GENOVA 11
12886;MARIA CRISTINA;CORSO DE GASPERI 65;10129;TORINO;TO;_011596774                ;_+390115807517;info@farmaciamariacristina.it;Build;F;F35;Enrico Giuseppe Parlatore;0,000000;0,000000;0,000000;0,000000;0,000000;0;0010302;TORINO 0302;TORINO 03
12911;OREGINA;VIA NAPOLI 46 ROSSO;16134;GENOVA;GE;_010232024                ;_+390102480357;gegtma@tin.it;Build;F;F32;Valter Tasso;0,000000;1,000000;1,000000;0,000000;0,000000;0;0100513;GENOVA 0513;GENOVA 05
12923;BILLA';VIA IV NOVEMBRE 218;21040;CISLAGO;VA;_0296380140               ;_+390296380140;farmacia.billa@libero.it;Build;F;F24;Davide Jula;0,000000;0,000000;0,000000;0,000000;0,000000;0;0121002;VARESE 1002;VARESE 10
12927;S.ANNA;VIA PARAVIA 75;20148;MILANO;MI;_0240073652               ;_+390240073652;info@farmaciasantanna.it;Build;F;F33;Luigi Loffredo;0,000000;1,000000;1,000000;1,000000;1,000000;0;0153803;MILANO 3803;MILANO 38
12930;BONVINI;VIA VALVERDE 18;25082;BOTTICINO SERA;BS;_0302691219               ;_+390302691219;farmaciabonvini@libero.it;Defend;H;H36;Diego Savio;1,000000;1,000000;1,000000;1,000000;1,000000;0;0171201;BRESCIA 1201;BRESCIA 12
12991;BONACCORSO;PIAZZA VITTORIO EMANUELE 39;95030;NICOLOSI;CT;_095911191                ;_+39095911191;bonaccor15@farmaciabonaccorso.191.it;Maintain;P;P33;Salvatore Gianluca Chirieleison;1,000000;1,000000;1,000000;1,000000;1,000000;0;0890501;CATANIA 0501;CATANIA 05
13006;ALL'IPPODROMO;VIA BUTTI 4;21100;VARESE;VA;_0332239280               ;_+390332498533;farmacia.conconi@libero.it;Build;F;F24;Davide Jula;0,000000;0,000000;0,000000;0,000000;0,000000;0;0120302;VARESE 0302;VARESE 03
13010;FACINELLI;VIA PAVIA 30;20081;ABBIATEGRASSO;MI;_0294966210               ;_+390294966210;farmacia.facinelli@virgilio.it;Build;F;F39;Davide Marchetti;0,000000;0,000000;0,000000;0,000000;0,000000;0;0151701;MILANO 1701;MILANO 17
13011;CAVALLI;VIA CANDIANI 122;20158;MILANO;MI;_023761937                ;_+39023761937;farmaciacavalli@tiscali.it;Maintain;F;F33;Luigi Loffredo;1,000000;1,000000;1,000000;1,000000;1,000000;0;0152601;MILANO 2601;MILANO 26
13014;INTERNAZIONALE;PIAZZA WIMMER 3;25083;GARDONE RIVIERA;BS;_036520117                ;_+39036520117;farmaciastorari@libero.it;Maintain;H;H36;Diego Savio;0,000000;0,000000;0,000000;0,000000;0,000000;0;0170704;BRESCIA 0704;BRESCIA 07
13040;S.CARLO;VIA GIOLITTI 2;10123;TORINO;TO;_011547914                ;_+39011547914;;Build;F;F34;Andrea Nerino Arrigo Neri;0,000000;0,000000;0,000000;0,000000;0,000000;0;0010101;TORINO 0101;TORINO 01
13046;S.MARTINO;PIAZZA S. MICHELE 17;20020;MAGNAGO;MI;_0331657450               ;_+390331659750;farmaciasanmartino@hotmail.com;Maintain;F;F24;Davide Jula;0,000000;0,000000;0,000000;0,000000;0,000000;0;0151501;MILANO 1501;MILANO 15
13057;STERLE;PIAZZA S GIORGIO 29;20012;CUGGIONO;MI;_02974085                 ;_+3902974085;farmacia.sterle@libero.it;Maintain;F;F24;Davide Jula;0,000000;0,000000;0,000000;0,000000;0,000000;0;0151502;MILANO 1502;MILANO 15
13082;COMUNALE;VIA LAMARMORA 7;25038;ROVATO;BS;_0307721157               ;_+39030723336;farmacia.comunale@comune.rovato.bs.it;Build;H;H36;Diego Savio;2,000000;2,000000;2,000000;2,000000;2,000000;0;0170101;BRESCIA 0101;BRESCIA 01
13083;BARONIO;VIA DUOMO 51;25046;CAZZAGO S.MARTINO;BS;_030725017                ;_+39030725017;baronioduilio@libero.it;Build;H;H36;Diego Savio;1,000000;1,000000;0,000000;1,000000;1,000000;0;0170101;BRESCIA 0101;BRESCIA 01
13086;LIBERTY;VIA MAMELI 27;21052;BUSTO ARSIZIO;VA;_0331632043               ;_+390331675116;farmaciamaggioni@libero.it;Build;F;F24;Davide Jula;0,000000;0,000000;0,000000;0,000000;0,000000;0;0120801;VARESE 0801;VARESE 08
1311;GANCIA DIMITRI;VIA ASIAGO 35;10142;TORINO;TO;_0114034120               ;_+390114033433;farmagancia@libero.it;Build;F;F35;Enrico Giuseppe Parlatore;1,000000;1,000000;1,000000;1,000000;1,000000;0;0011302;TORINO 1302;TORINO 13
13136;COMUNALE N 7;VIA MARELLI 79;20099;SESTO S GIOVANNI;MI;_0222479765               ;_+390222479765;farm.comunale7sesto@libero.it;Defend;F;F33;Luigi Loffredo;0,000000;0,000000;0,000000;0,000000;0,000000;0;0150903;MILANO 0903;MILANO 09
13137;COMUNALE N 6;VIA PADRE RAVASI 40;20099;SESTO S GIOVANNI;MI;_022423425                ;_+39022423425;farm.comunale6sesto@libero.it;Defend;F;F33;Luigi Loffredo;0,000000;0,000000;0,000000;0,000000;0,000000;0;0150903;MILANO 0903;MILANO 09
13138;COMUNALE N 5;VIA CASIRAGHI 53;20099;SESTO S GIOVANNI;MI;_022423984                ;_+39022423984;;Maintain;F;F33;Luigi Loffredo;0,000000;0,000000;0,000000;0,000000;0,000000;0;0150905;MILANO 0905;MILANO 09
13139;COMUNALE N 4;VIA PISA 192;20099;SESTO S GIOVANNI;MI;_022421003                ;_+39022421003;farm.comunale4sesto@virgilio.it;Defend;F;F33;Luigi Loffredo;0,000000;0,000000;0,000000;0,000000;0,000000;0;0150904;MILANO 0904;MILANO 09
1314;SS COSMA E DAMIANO;PIAZZA OMERO 16;10137;TORINO;TO;_0113112577               ;_+390113110719;cosmadam@libero.it;Build;F;F34;Andrea Nerino Arrigo Neri;0,000000;0,000000;0,000000;0,000000;0,000000;0;0011201;TORINO 1201;TORINO 12
13140;COMUNALE N 3;SAINT DENIS 85;20099;SESTO S GIOVANNI;MI;_022483112                ;_+39022483112;giannibene@tin.it;Defend;F;F33;Luigi Loffredo;0,000000;0,000000;0,000000;0,000000;0,000000;0;0150905;MILANO 0905;MILANO 09
13141;COMUNALE N 1;VIA RIMENBRANZE 102;20099;SESTO S GIOVANNI;MI;_0222478244               ;_+390222478244;;Defend;F;F33;Luigi Loffredo;0,000000;0,000000;0,000000;0,000000;0,000000;0;0150904;MILANO 0904;MILANO 09
13196;SAPORI;VIA MAZZINI 8;41058;VIGNOLA;MO;_059771134                ;_+39059761924;info@farmaciasapori.it;Build;H;H02;Massimo Corlaita;0,000000;0,000000;0,000000;0,000000;0,000000;0;0370601;MODENA 0601;MODENA 06
13199;MARCHETTI;VIA TOR SAPIENZA 9;00155;ROMA;RM;_062280065                ;_+39062252858;info@farmaciamarchetti.it;Build;M;M03;Manuelo Maria Montemaggiori;1,000000;1,000000;1,000000;1,000000;1,000000;0;0590706;ROMA 0706;ROMA 07
13207;PIERMARINI;VIA SCRIBONIO CURIONE 91;00175;ROMA;RM;_0676960955               ;_+3906768064;;Build;M;M02;Antonella Nardi;0,000000;0,000000;0,000000;0,000000;0,000000;0;0591004;ROMA 1004;ROMA 10
1322;COMUNALE N 1;VIA MONTELLO 2;21054;FAGNANO OLONA;VA;_0331617310               ;_+390331614990;;Build;F;F24;Davide Jula;1,000000;1,000000;1,000000;1,000000;1,000000;0;0120806;VARESE 0806;VARESE 08
13223;ALESSANDRINI;VIA RADICI NORD 14;42014;CASTELLARANO;RE;_0536850120               ;_+390536850854;farmalex@tin.it;Build;H;H05;Luca Cerlini;0,000000;0,000000;0,000000;0,000000;0,000000;0;0360501;REGGIO EMILIA 0501;REGGIO EMILIA 05
13260;S.ANTIMO;PIAZZA DELLA REPUBBLICA 39;80029;S ANTIMO;NA;_0818332855               ;_+390815057335;farmaciabezzi@inwind.it;Build;P;P07;Vincenzo Rongo;0,000000;0,000000;0,000000;0,000000;0,000000;0;0700402;NAPOLI 0402;NAPOLI 04
1327;BRAMANTE;VIA PACINI 30;20131;MILANO;MI;_022663818                ;_+39022663818;info@farmaciabramante.it;Build;F;F33;Luigi Loffredo;0,000000;0,000000;0,000000;0,000000;0,000000;0;0153001;MILANO 3001;MILANO 30
13324;STROPPIANA S.N.C.;CORSO SVIZZERA 42;10143;TORINO;TO;_0117496064               ;_+390117496064;;Build;F;F35;Enrico Giuseppe Parlatore;0,000000;0,000000;0,000000;0,000000;0,000000;0;0010602;TORINO 0602;TORINO 06
13376;GENOVESI S.P.A. SAMPIERDARENA;VIA VASCO DA GAMA 19R;16149;GENOVA;GE;_010415523                ;_+390106444692;farmacia.vasco@amiu.genova.it;Build;F;F32;Valter Tasso;0,000000;0,000000;0,000000;0,000000;0,000000;0;0100403;GENOVA 0403;GENOVA 04
13402;RICCARDI;VIA CALISTO II 20;00167;ROMA;RM;_066274371                ;_+390661007785;riccardi40@farmaciaricdottpaola.191.it;Build;M;M03;Manuelo Maria Montemaggiori;0,000000;0,000000;0,000000;0,000000;0,000000;0;0591803;ROMA 1803;ROMA 18
13417;COMUNALE N 3 DI COSTA;VIA FORLANINI 2;31029;VITTORIO VENETO;TV;_0438556628               ;_+390438556628;farma173@vittorioservizi.com;Defend;H;H35;Raffaello Benossi;0,000000;0,000000;0,000000;0,000000;0,000000;0;0260301;TREVISO 0301;TREVISO 03
13456;BOCCHI;VIA MINGHETTI 9;37045;LEGNAGO;VR;_044220358                ;_+39044220358;farmacia.bocchi@libero.it;Defend;H;H33;Isacco Treccani;0,000000;0,000000;1,000000;1,000000;0,000000;0;0230501;VERONA 0501;VERONA 05
13495;GIGLIOLI;VIALE B BUOZZI 38;50013;CAMPI BISENZIO;FI;_055890009                ;_+39055892002;farmaciagiglioli@tiscali.it;Build;M;M32;Paolo Bongini;0,000000;0,000000;0,000000;0,000000;0,000000;0;0450703;FIRENZE 0703;FIRENZE 07
13496;MODERNA;VIA MAZZINI 8;59100;PRATO;PO;_057422604                ;_+390574484660;farmaciamoderna@libero.it;Build;M;M32;Paolo Bongini;0,000000;0,000000;0,000000;0,000000;0,000000;0;1010201;PRATO 0201;PRATO 02
135;DELL AQUILA;VIA GIACOMETTI 30/32;16143;GENOVA;GE;_010509031                ;_+390105185630;info@farmaciadellaquila.it;Build;F;F32;Valter Tasso;1,000000;1,000000;1,000000;1,000000;1,000000;0;0100701;GENOVA 0701;GENOVA 07
1350;MUNICIP CAIELLO;VIA MARONCELLI 2;21013;GALLARATE;VA;_0331793706               ;_+390331789707;farmacia.caiello@amsc.it;Build;F;F24;Davide Jula;1,000000;1,000000;1,000000;1,000000;1,000000;0;0120602;VARESE 0602;VARESE 06
13525;COMUNALE N 2;MARCO POLO 31;55049;VIAREGGIO;LU;_0584405035               ;_+390584564632;;Build;M;M34;Luca Mariotti;1,000000;1,000000;1,000000;1,000000;1,000000;0;0430503;LUCCA 0503;LUCCA 05
13529;MASI;VIA 13 MARTIRI 22;50017;S PIERO A PONTI;FI;_0558999031               ;_+390558999031;;Build;M;M32;Paolo Bongini;0,000000;0,000000;0,000000;0,000000;0,000000;0;0450703;FIRENZE 0703;FIRENZE 07
13532;MUNGAI;VIA STARNINA 33-35-37;50143;FIRENZE;FI;_055714440                ;_+390557398595;marconocentini@farmaciamungai.it;Build;M;M32;Paolo Bongini;1,000000;1,000000;1,000000;1,000000;1,000000;0;0450301;FIRENZE 0301;FIRENZE 03
1354;INTROINI;VIA MAGENTA 27;21013;GALLARATE;VA;_0331798208               ;_+390331788147;farmaciaintroini@tiscali.it;Build;F;F24;Davide Jula;1,000000;1,000000;1,000000;1,000000;1,000000;0;0120601;VARESE 0601;VARESE 06
1356;SABBIONI;VIA DE AMICIS 36;21050;BOLLADELLO;VA;_0331310045               ;_+390331310045;farmacia.sabbioni@tin.it;Observe;F;F24;Davide Jula;0,000000;0,000000;0,000000;0,000000;0,000000;0;0120607;VARESE 0607;VARESE 06
13566;CENTRALE;PIAZZA CAVOUR 17;57037;PORTOFERRAIO;LI;_0565914026               ;_+390565930666;farmadrfusi@gmail.com;Build;M;M35;Roberto Saggini;1,000000;1,000000;1,000000;1,000000;1,000000;0;0460401;LIVORNO 0401;LIVORNO 04
1358;MAZZUCCHELLI DR FRANCO & C.SNC;VIA CAVALLOTTI 4;21052;BUSTO ARSIZIO;VA;_0331633431               ;_+390331320756;farmacia@farmaciamazzucchelli.it;Build;F;F24;Davide Jula;1,000000;1,000000;1,000000;1,000000;1,000000;0;0120804;VARESE 0804;VARESE 08
13592;ZARRI;VIA UGO BASSI 1;40121;BOLOGNA;BO;_051223739                ;_+39051223739;info@farmaciazarri.bo.it;Build;H;H02;Massimo Corlaita;0,000000;0,000000;0,000000;0,000000;0,000000;0;0381101;BOLOGNA 1101;BOLOGNA 11
13594;CHILLEMI;VIA BELLARIA 36/E;40139;BOLOGNA;BO;_051544397                ;_+390516244350;chillemi.farmacia@tin.it;Build;H;H02;Massimo Corlaita;1,000000;1,000000;0,000000;1,000000;1,000000;0;0381002;BOLOGNA 1002;BOLOGNA 10
1360;MILANESE S.N.C.;VIA MAZZINI 34;21057;OLGIATE OLONA;VA;_0331649166               ;_+390331376877;;Build;F;F24;Davide Jula;0,000000;0,000000;0,000000;1,000000;1,000000;0;0120805;VARESE 0805;VARESE 08
1362;MUNICIP RONCHI;VIA SCIESA 40/A;21013;GALLARATE;VA;_0331797426               ;_+390331778120;farmacia.ronchi@amsc.it;Build;F;F24;Davide Jula;0,000000;0,000000;0,000000;0,000000;0,000000;0;0120602;VARESE 0602;VARESE 06
13638;DI GIORGIO;VIA FILIPPO DI GIOVANNI 55;90146;PALERMO;PA;_0916884263               ;_+390916880534;farmaciadigiorgio@hotmile.it;Build;P;P32;Pierludovico Marsala;1,000000;1,000000;1,000000;1,000000;1,000000;0;0841304;PALERMO 1304;PALERMO 13
13641;POLIZZI;CORSO CALATAFIMI 415;90129;PALERMO;PA;_091422961                ;_+39091422961;rosalia.poli@libero.it;Build;P;P32;Pierludovico Marsala;0,000000;0,000000;0,000000;0,000000;0,000000;0;0841102;PALERMO 1102;PALERMO 11
13646;LANZARA;VIA ROMA 5;90014;CASTELDACCIA;PA;_091953301                ;_+39091953301;massimonastero@hotmail.it;Maintain;P;P32;Pierludovico Marsala;1,000000;1,000000;1,000000;1,000000;1,000000;0;0840402;PALERMO 0402;PALERMO 04
13654;TRIPI;VIA ALOI 3/C;90133;PALERMO;PA;_0916484273               ;_+390916484273;tripifarm@libero.it;Maintain;P;P32;Pierludovico Marsala;0,000000;0,000000;0,000000;0,000000;0,000000;0;0841404;PALERMO 1404;PALERMO 14
1366;PASTORELLI;VIA NIZZOLINA 10;21053;CASTELLANZA;VA;_0331500159               ;_+390331500159;farma.pastorelli@libero.it;Maintain;F;F24;Davide Jula;0,000000;0,000000;0,000000;0,000000;0,000000;0;0120805;VARESE 0805;VARESE 08
13661;MAYMONE;VIA CATANIA 122;90141;PALERMO;PA;_091584096                ;;;Build;P;P32;Pierludovico Marsala;1,000000;1,000000;1,000000;1,000000;1,000000;0;;;
1367;RAIMONDI;VIA EUROPA SNC;21050;GORLA MAGGIORE;VA;_0331618038               ;_+390331612710;farmacia.raimondi@libero.it;Maintain;F;F24;Davide Jula;0,000000;0,000000;0,000000;0,000000;0,000000;0;0120806;VARESE 0806;VARESE 08
1384;TOSINI;VIA DANTE ALIGHIERI 11;25064;GUSSAGO;BS;_0302521777               ;_+390302521777;angela.tosini@libero.it;Build;H;H36;Diego Savio;0,000000;0,000000;0,000000;0,000000;0,000000;0;0170802;BRESCIA 0802;BRESCIA 08
13840;LI DESTRI;VIA NAZIONALE 177;96010;CASSIBILE;SR;_0931718533               ;_+390931718533;;Build;P;P37;Teresa Lacagnina;1,000000;1,000000;1,000000;1,000000;1,000000;0;0910505;SIRACUSA 0505;SIRACUSA 05
13845;ZARBANO;VIA GRAMSCI 9;96016;LENTINI;SR;_0957836532               ;_+390957836532;farmaciazarbano@mac.com;Maintain;P;P37;Teresa Lacagnina;1,000000;1,000000;1,000000;1,000000;1,000000;0;0910401;SIRACUSA 0401;SIRACUSA 04
1385;NOSARI;VIA PAPA GIOVANNI XXIII 5;24030;ALMENNO SAN BARTOLOMEO;BG;_035540019                ;_+39035553633;;Maintain;F;F25;Giordano Vellani;0,000000;0,000000;0,000000;0,000000;0,000000;0;0160402;BERGAMO 0402;BERGAMO 04
13852;TROPEA;VIALE DELLO IONIO 34/E;95010;MACCHIA DI GIARRE;CT;_095934222                ;_+39095934222;;Build;P;P33;Salvatore Gianluca Chirieleison;1,000000;1,000000;1,000000;1,000000;1,000000;0;0891002;CATANIA 1002;CATANIA 10
